"review_id","place_id","food_rating","service_rating","atmosphere_rating","meal_type","price_per_person","group_size","wait_time","reservation","service_type","recommended_dishes"
"Ci9DQUlRQUNvZENodHljRjlvT2t4bldYQTRZM0ZPVFROWFNVRjZNbWxWYzJORk5WRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT20xdVVtOWxkR05RZVVwRFRsRkdNVkV5VVdsMlVHYxAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT21reFoyVklNVFo2TFZWVWJWcElkVzVhU1dFNFJuYxAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT21sb1RqTnhXWE5hWTNJdFVHSXdWMFJrWWpaNVVFRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2pCeGRHTlFWVWMwTUVwbFJrVlRZV2RtWDNWVFZVRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2s4MWFFUXlXRXMwTmpGV01XVnZjMGhmVEZab1puYxAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2taTWFHOUhTRkp5YVUxbVRGSkpUbWRVVjBKQk1FRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT21WYVdGQlZiakEwY1hFMmRrOTBjVkJzYUhSM2JuYxAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2pCWE9GRTBWbWRYU0dSRE9ERTBZWGhvVVhoTFFWRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT25JeVVIWkJjbWxpVDBKRU4wUm1aSGN5YmpNeGRFRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2twVFduSjNNVzFMT1ZONldISmpSMHhMUlZSU1MxRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT25sTFdGZFlSVkJxTUdaUmMxRkNaRzVTVDA1cFgzYxAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT21rd2VXOUxVRXh6TkRoWGNHb3lTV0ZvVERkTGFHYxAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2tRNVNtVnRPVkJSVTNZMllXVmhWek5TY25kdlkwRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
"Ci9DQUlRQUNvZENodHljRjlvT2pCM2QyOWFkbGc1ZURKTk5ESjFkVUZsTFZjMVpFRRAB","0x30e29f003f8ba4fb:0xa57986c76b58a648","","","","","","","","","",""
