"review_id","place_id","food_rating","service_rating","atmosphere_rating","meal_type","price_per_person","group_size","wait_time","reservation","service_type","recommended_dishes"
"ChZDSUhNMG9nS0VJQ0FnSUR4MklhNk9nEAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChZDSUhNMG9nS0VJQ0FnSURfZ3IyTlh3EAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURya0p5czl3RRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChZDSUhNMG9nS0VJQ0FnSUN5cjUzU1hREAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURPa09xQjVnRRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURfMHJ2SDVBRRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChZDSUhNMG9nS0VJQ0FnSUQzOGR1a1ZREAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURVeEozbm93RRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURjM2JDVm1BRRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSUNLay03cjJ3RRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURnOE4tUXl3RRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChZDSUhNMG9nS0VJQ0FnSURpd0tpRUZBEAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSUNDcFByYTR3RRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChZDSUhNMG9nS0VJQ0FnSUQwMmREcE5REAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChdDSUhNMG9nS0VJQ0FnSURRbFBXU213RRAB","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
"ChZDSUhNMG9nS0VJQ0FnSURBM1lqeEJnEAE","0x30e29f559b4d1833:0x3d395b9efa9fad5d","","","","","","","","","",""
