place_id,name,lat,lng,rating,review_count,phone,website,google_category,address_street,city_field,province_en,google_maps_url,dbd_reg_no,dbd_legal_name,dbd_capital_thb,dbd_registered_date,dbd_tsic_code,dbd_purpose,dbd_address,dbd_match_score,dbd_is_dissolved,yp_biz_id,yp_sub_category,yp_description,yp_website,yp_match_score,yp_category_file,is_halal_certified,halal_brand_matched,halal_match_score,estate_name,years_in_business,trust_score,data_sources,source_gongdan,source_supplier,source_discovered,hex_id,discovered_query,estate_slug,b2b_score,is_consumer,reviews_scraped_count,avg_scraped_rating,top_review_text,reviews_concat,reviews_json,photos_count,top_photo_url,photo_urls_concat,photo_urls_json
ChIJMQnf-Ju5AjERea7Bobe-qCc,"RMA Automotive Co.,Ltd.",,,4.6,101.0,+66 38 490 123,https://www.rmagroup.net/automotive/,Car factory,"Industrial Estate, 203",Si Racha District,Chon Buri,https://www.google.com/maps/search/?api=1&query=RMA%20Automotive%20Co.%2CLtd.&query_place_id=ChIJMQnf-Ju5AjERea7Bobe-qCc,,,,,,,,,,,,,,,,,,,unknown_en,0,21.275,gongdan,True,,,,,unknown-en,17.71,False,,,,,,,,,
ChIJ6xHUjVvJAjER7OmcW-q6fCY,Pinthong Industrial Estate 1,,,4.5,251.0,+66 38 296 334,https://www.pinthongindustrial.com/,Industrial real estate agency,"789, หมู่ที่ 1, ถนน หนองค้อ",Si Racha District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Pinthong%20Industrial%20Estate%201&query_place_id=ChIJ6xHUjVvJAjER7OmcW-q6fCY,,,,,,,,,,,,,,,,,,,Pinthong,0,24.882,gongdan,True,,,,,pinthong,17.43,False,,,,,,,,,
ChIJl9sE7hc2HTERNvayg4JIBvg,"AGC Automotive (Thailand) Co., Ltd.",,,4.4,119.0,+66 38 214 840,http://www.agc-automotive.co.th/,Auto parts manufacturer,700/366 หมู่ที่ 6 ซ. นิคมอุตสาหกรรมอมตะนคร,Chon Buri District,Chon Buri,https://www.google.com/maps/search/?api=1&query=AGC%20Automotive%20(Thailand)%20Co.%2C%20Ltd.&query_place_id=ChIJl9sE7hc2HTERNvayg4JIBvg,,,,,,,,,,,,,,,,,,,อมตะนคร,0,21.065,gongdan,True,,,,,,17.16,False,,,,,,,,,
ChIJ-QvHIrDH4jAREar7BQ3KW-k,Samut Sakhon Industrial Estate,,,4.4,260.0,+66 34 490 066,https://directorsdirectory.com/listing/samut-sakhon-industrial-estate/,Industrial real estate agency,39/5 หมู่ที่ 2,Mueang Samut Sakhon District,Samut Sakhon,https://www.google.com/maps/search/?api=1&query=Samut%20Sakhon%20Industrial%20Estate&query_place_id=ChIJ-QvHIrDH4jAREar7BQ3KW-k,,,,,,,,,,,,,,,,,,,Industrial Estate,0,24.484,gongdan,True,,,,,industrial-estate,17.16,False,,,,,,,,,
ChIJeQGF3AE3HTERLyhespN92oc,Amata Nakhon Industrial Estate,,,4.4,93.0,+66 38 457 002,https://www.facebook.com/IEATAMATA?mibextid=ZbWKwL,Industrial real estate agency,,Chon Buri District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Amata%20Nakhon%20Industrial%20Estate&query_place_id=ChIJeQGF3AE3HTERLyhespN92oc,,,,,,,,,,,,,,,,,,,Amata,0,19.99,gongdan,True,,,,,amata,16.99,False,,,,,,,,,
ChIJPSuPC06B4jARIBH4omKK6_c,"Thai Glico Co., Ltd. (Bangkadi Factory)",,,4.3,141.0,+66 2 501 1270,https://www.glico.com/th/,Chocolate factory,157 Tiwanon Rd,Mueang Pathum Thani District,Pathum Thani,https://www.google.com/maps/search/?api=1&query=Thai%20Glico%20Co.%2C%20Ltd.%20(Bangkadi%20Factory)&query_place_id=ChIJPSuPC06B4jARIBH4omKK6_c,,,,,,,,,,,,,,,,,,,Bangkadi,0,21.31,gongdan,True,,,,,bangkadi,16.88,False,,,,,,,,,
ChIJecDCCGm4AjERm1Gear9EMd0,Thai Summit Harness Public Company Limited,,,4.3,98.0,+66 38 490 761,http://www.tshpcl.com/,Auto parts manufacturer,Laemchabang Industrial Estate 202,Si Racha District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Thai%20Summit%20Harness%20Public%20Company%20Limited&query_place_id=ChIJecDCCGm4AjERm1Gear9EMd0,,,,,,,,,,,,,,,,,,,unknown_en,0,19.759,gongdan,True,,,,,unknown-en,16.86,False,,,,,,,,,
ChIJMycGn4FbHTER1HDc13Ud-zg,Frasers Property Logistics Center Bangplee 3,,,4.5,74.0,+66 2 483 0000,https://industrial.frasersproperty.co.th/,Warehouse,"173, 16",Bang Phli District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Frasers%20Property%20Logistics%20Center%20Bangplee%203&query_place_id=ChIJMycGn4FbHTER1HDc13Ud-zg,,,,,,,,,,,,,,,,,,,Bang Plee,0,19.429,gongdan,True,,,,,bang-plee,16.66,False,,,,,,,,,
ChIJrzC_GqdcHTERmgsnX5ZWIx4,"ENKEI THAI CO.,LTD.",,,4.2,152.0,+66 2 315 3749,,Auto parts manufacturer,444 หมู่ 17 Soi Nikhom Uttasahakam Bang Phli 6,Bang Sao Thong District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=ENKEI%20THAI%20CO.%2CLTD.&query_place_id=ChIJrzC_GqdcHTERmgsnX5ZWIx4,,,,,,,,,,,,,,,,,,,Bang Plee,0,21.128,gongdan,True,,,,,bang-plee,16.61,False,,,,,,,,,
ChIJNa7qWzY2HTERF531rPH-qYQ,AMATA City Chonburi Industrial Estate,,,4.2,238.0,+66 38 939 007,http://www.amata.com/,Industrial real estate agency,700 ถนน ไฮเวย์บางนา-ตราด กม.57,Chon Buri District,Chon Buri,https://www.google.com/maps/search/?api=1&query=AMATA%20City%20Chonburi%20Industrial%20Estate&query_place_id=ChIJNa7qWzY2HTERF531rPH-qYQ,,,,,,,,,,,,,,,,,,,Amata City Chonburi,0,23.001,gongdan,True,,,,,amata-city-chonburi,16.61,False,,,,,,,,,
ChIJr61mxxRbHTERsxkHMziklOo,Bangkok Free Trade Zone 1,,,4.4,93.0,+66 61 856 9779,https://www.bangkokfreetradezone.com/,Warehouse,HQ8F+CJF 1040 หมู่ 15 บางกอกฟรีเทรดโซน บางเสาธง,Bang Sao Thong District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Bangkok%20Free%20Trade%20Zone%201&query_place_id=ChIJr61mxxRbHTERsxkHMziklOo,,,,,,,,,,522588840261002,Warehouses,ให้เช่าคลังสินค้าในเขตปลอดอากร,,95.83333333333334,yp_Warehouses,,,,,0,19.99,"gongdan,yp",True,,,,,,16.49,False,,,,,,,,,
ChIJ1zGYLOIwHTERSVMZOVthdLw,"Howa(Thailand)Co.,Ltd.",,,4.4,71.0,,,Auto body parts supplier,"700/919 M.5 Amata Nakom Industrial Estate,T.Nongkakha, A.Phanthong",Phan Thong District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Howa(Thailand)Co.%2CLtd.&query_place_id=ChIJ1zGYLOIwHTERSVMZOVthdLw,,,,,,,,,,,,,,,,,,,unknown_en,0,18.817,gongdan,True,,,,,unknown-en,16.29,False,,,,,,,,,
ChIJ8Sq9-GiWAjER2nJ_y7HUjtw,"Thai Tshirt Factory Co., Ltd.",,,4.8,162.0,+66 88 523 9552,https://thaitshirtfactory.com/,Clothing supplier,179 185-212 M.5 N Pattaya Rd,Bang Lamung District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Thai%20Tshirt%20Factory%20Co.%2C%20Ltd.&query_place_id=ChIJ8Sq9-GiWAjER2nJ_y7HUjtw,,,,,,,,,,,,,,,,,,,,0,24.45,gongdan,True,,,,,,16.26,False,,,,,,,,,
ChIJ0_ZVHCxcHTERPORCR2XWSxk,"Summit Auto Body Industry Co., Ltd.",,,4.2,146.0,+66 2 338 6000,http://www.summitautogroup.com/,Auto parts manufacturer,32 33 Bang Na-Trat Frontage Rd,Bang Phli District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Summit%20Auto%20Body%20Industry%20Co.%2C%20Ltd.&query_place_id=ChIJ0_ZVHCxcHTERPORCR2XWSxk,,,,,,,,,,77639152041001,Automobile Parts & Supplies-Wholesale & Manufacturers,ผลิตชิ้นส่วนประกอบรถยนต์,,94.33962264150944,yp_Automobile_Manufacturers,,,,,0,20.96,"gongdan,yp",True,,,,,,16.11,False,,,,,,,,,
ChIJ6zYhi_vPAjERFcnEBOOByhM,"AISIN POWERTRAIN (THAILAND) CO.,LTD.",,,4.7,108.0,+66 33 085 111,https://www.aisinpowertrain.co.th/,Auto parts manufacturer,"890, 890/2 หมู่ที่ 3, 2",Si Racha District,Chon Buri,https://www.google.com/maps/search/?api=1&query=AISIN%20POWERTRAIN%20(THAILAND)%20CO.%2CLTD.&query_place_id=ChIJ6zYhi_vPAjERFcnEBOOByhM,,,,,,,,,,,,,,,,,,,,0,22.049,gongdan,True,,,,,,15.99,False,,,,,,,,,
ChIJAcnUSGdDHTERm6lP0NimeoM,"Thai-Swedish Assembly Co., Ltd.",,,4.3,83.0,+66 2 021 9555,,Manufacturer,HRRF+FFC,Bang Sao Thong District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Thai-Swedish%20Assembly%20Co.%2C%20Ltd.&query_place_id=ChIJAcnUSGdDHTERm6lP0NimeoM,,,,,,,,,,24322002049001,Automobile Manufacturers,ประกอบรถยนต์,,93.33333333333331,yp_Automobile_Manufacturers,,,,,0,19.053,"gongdan,yp",True,,,,,,15.93,False,,,,,,,,,
ChIJaSqXwUM2HTERa_5j1fi-moI,Daikin Industries (Thailand) Limited.,,,4.2,74.0,+66 38 469 700,http://www.daikinthai.com/,Manufacturer,700/11 นิคมอุตสาหกรรมอมตะซิตี้ ชลบุรี ถนนบางนา-ตราด,Chon Buri District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Daikin%20Industries%20(Thailand)%20Limited.&query_place_id=ChIJaSqXwUM2HTERa_5j1fi-moI,,,,,,,,,,,,,,,,,,,อมตะซิตี้ ชลบุรี ถนนบางนา-ตราด,0,18.133,gongdan,True,,,,,,15.88,False,,,,,,,,,
ChIJ80oUW-_HAjERybD5X4aPvCg,Senior Aerospace (Thailand) - F3 and F4,,,4.7,45.0,+66 33 047 281,https://zenixaerospace.com/,Manufacturer,"789/198 Moo1, Pinthong Industrial Estate 1",Si Racha District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Senior%20Aerospace%20(Thailand)%20-%20F3%20and%20F4&query_place_id=ChIJ80oUW-_HAjERybD5X4aPvCg,,,,,,,,,,,,,,,,,,,unknown_en,0,17.995,gongdan,True,,,,,unknown-en,15.8,False,,,,,,,,,
ChIJK1C5egFZHTERgP5VBzQvEIA,Bang Pu Industrial Estate Office,,,3.9,113.0,+66 2 709 3450,http://www.ieat-bangpoo.go.th/,Industrial real estate agency,หมู่ที่ 4 Sukhumvit Rd,Mueang Samut Prakan District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Bang%20Pu%20Industrial%20Estate%20Office&query_place_id=ChIJK1C5egFZHTERgP5VBzQvEIA,,,,,,,,,,,,,,,,,,,Bangpu,0,18.471,gongdan,True,,,,,bangpu,15.78,False,,,,,,,,,
ChIJudyTi7lcHTERNP2GZ-V_nDs,Yamaha motor asian center,,,4.6,123.0,+66 2 769 7200,,Auto parts manufacturer,,Bang Sao Thong District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Yamaha%20motor%20asian%20center&query_place_id=ChIJudyTi7lcHTERNP2GZ-V_nDs,,,,,,,,,,,,,,,,,,,,0,22.173,gongdan,True,,,,,,15.71,False,,,,,,,,,
ChIJ-W2ebWan4jAR2vsZmY3Yt_w,TIP 9 Industrial Project,,,4.6,105.0,+66 83 465 4999,http://www.tipprojects.com/,Warehouse,Sukhumvit Rd,Mueang Samut Prakan District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=TIP%209%20Industrial%20Project&query_place_id=ChIJ-W2ebWan4jAR2vsZmY3Yt_w,,,,,,,,,,,,,,,,,,,,0,21.452,gongdan,True,,,,,,15.71,False,,,,,,,,,
ChIJnSXdqBPGAjERS0-UH31V8Ec,Pinthong Industrial Estate 3,,,4.5,49.0,+66 38 296 334,,Industrial real estate agency,219 หมู่6,Si Racha District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Pinthong%20Industrial%20Estate%203&query_place_id=ChIJnSXdqBPGAjERS0-UH31V8Ec,,,,,,,,,,,,,,,,,,,Pinthong,0,17.604,gongdan,True,,,,,pinthong,15.56,False,,,,,,,,,
ChIJ3WRMj8xBHTERGKwCJiLgwuY,Hino F4 ฮีโน่ โรงงาน4,,,4.6,91.0,+66 2 326 9741,,Car factory,MW55+QPV Hino F4 โรงงานสี่,Bang Bo District,Samut Prakan,https://www.google.com/maps/search/?api=1&query=Hino%20F4%20%E0%B8%AE%E0%B8%B5%E0%B9%82%E0%B8%99%E0%B9%88%20%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%994&query_place_id=ChIJ3WRMj8xBHTERGKwCJiLgwuY,,,,,,,,,,,,,,,,,,,,0,20.8,gongdan,True,,,,,,15.48,False,,,,,,,,,
ChIJqWB-9729AjERgMCP8eCGYCY,Fabrion Manufacturing,,,5.0,59.0,+66 89 748 4714,https://fabrionmanufacturing.com/,Sportwear manufacturer,159 326 M9 Paniad Chang 5/1 Alley,Bang Lamung District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Fabrion%20Manufacturing&query_place_id=ChIJqWB-9729AjERgMCP8eCGYCY,,,,,,,,,,,,,,,,,,,,0,20.472,gongdan,True,,,,,,15.28,False,,,,,,,,,
ChIJ5YuT_Pu-4jARaLsITMzQ18Q,"Royal Can Industries Co.,Ltd.",,,4.5,93.0,+66 34 419 333,http://www.rcithailand.com/,Container supplier,ถนนแคราย - ถนนเลียบคลองเเคราย,Krathum Baen District,Samut Sakhon,https://www.google.com/maps/search/?api=1&query=Royal%20Can%20Industries%20Co.%2CLtd.&query_place_id=ChIJ5YuT_Pu-4jARaLsITMzQ18Q,,,,,,,,,,,,,,,,,,,,0,20.445,gongdan,True,,,,,,15.27,False,,,,,,,,,
ChIJr6Ogzk02HTERdI36JXynK7U,Intercontinental Jewellery Manufacturing Company Limited,,,4.4,47.0,+66 38 468 686,,Manufacturer,"700/108 Moo 5, Amata Nakorn Industrial Estate",Chon Buri District,Chon Buri,https://www.google.com/maps/search/?api=1&query=Intercontinental%20Jewellery%20Manufacturing%20Company%20Limited&query_place_id=ChIJr6Ogzk02HTERdI36JXynK7U,,,,,,,,,,,,,,,,,,,unknown_en,0,17.033,gongdan,True,,,,,unknown-en,15.22,False,,,,,,,,,
